scheme,scheme_label,artifact_type,severity_label,severity_value,sample_index,score,deployment_threshold,research_threshold
patchcore_l3,PatchCore L3,text_watermark,opacity_0_25,0.25,5,30.99917221069336,34.763293457031246,26.80457305908203
patchcore_l3,PatchCore L3,text_watermark,opacity_0_25,0.25,6,24.0031795501709,34.763293457031246,26.80457305908203
patchcore_l3,PatchCore L3,text_watermark,opacity_0_25,0.25,7,25.25599479675293,34.763293457031246,26.80457305908203
patchcore_l3,PatchCore L3,text_watermark,opacity_0_25,0.25,8,28.75129508972168,34.763293457031246,26.80457305908203
patchcore_l3,PatchCore L3,text_watermark,opacity_0_25,0.25,9,32.44242858886719,34.763293457031246,26.80457305908203
patchcore_l3,PatchCore L3,text_watermark,opacity_0_25,0.25,10,32.569496154785156,34.763293457031246,26.80457305908203
patchcore_l3,PatchCore L3,text_watermark,opacity_0_25,0.25,11,32.7808952331543,34.763293457031246,26.80457305908203
autoencoder,Autoencoder,text_watermark,opacity_0_25,0.25,0,0.00018903422460425645,0.0017387918487656,0.0001624995929887
autoencoder,Autoencoder,text_watermark,opacity_0_25,0.25,1,0.001384823932312429,0.0017387918487656,0.0001624995929887
autoencoder,Autoencoder,text_watermark,opacity_0_25,0.25,2,0.0014365077950060368,0.0017387918487656,0.0001624995929887
autoencoder,Autoencoder,text_watermark,opacity_0_25,0.25,3,0.0010128839639946818,0.0017387918487656,0.0001624995929887
autoencoder,Autoencoder,text_watermark,opacity_0_25,0.25,4,0.0006837020046077669,0.0017387918487656,0.0001624995929887
autoencoder,Autoencoder,text_watermark,opacity_0_25,0.25,5,0.0006245659315027297,0.0017387918487656,0.0001624995929887
autoencoder,Autoencoder,text_watermark,opacity_0_25,0.25,6,0.000774773710872978,0.0017387918487656,0.0001624995929887
autoencoder,Autoencoder,text_watermark,opacity_0_25,0.25,7,0.00046260058297775686,0.0017387918487656,0.0001624995929887
autoencoder,Autoencoder,text_watermark,opacity_0_25,0.25,8,0.00036656513111665845,0.0017387918487656,0.0001624995929887
autoencoder,Autoencoder,text_watermark,opacity_0_25,0.25,9,0.000734384695533663,0.0017387918487656,0.0001624995929887
autoencoder,Autoencoder,text_watermark,opacity_0_25,0.25,10,0.0008841257076710463,0.0017387918487656,0.0001624995929887
autoencoder,Autoencoder,text_watermark,opacity_0_25,0.25,11,0.000106063685961999,0.0017387918487656,0.0001624995929887
image_statistics,Image statistics,text_watermark,opacity_0_25,0.25,0,1.0144758224487305,1.7220234692096696,0.6057427525520325
image_statistics,Image statistics,text_watermark,opacity_0_25,0.25,1,0.8343774676322937,1.7220234692096696,0.6057427525520325
image_statistics,Image statistics,text_watermark,opacity_0_25,0.25,2,0.8072699308395386,1.7220234692096696,0.6057427525520325
image_statistics,Image statistics,text_watermark,opacity_0_25,0.25,3,0.7722468376159668,1.7220234692096696,0.6057427525520325
image_statistics,Image statistics,text_watermark,opacity_0_25,0.25,4,0.5436147451400757,1.7220234692096696,0.6057427525520325
image_statistics,Image statistics,text_watermark,opacity_0_25,0.25,5,0.828295886516571,1.7220234692096696,0.6057427525520325
image_statistics,Image statistics,text_watermark,opacity_0_25,0.25,6,0.9212661385536194,1.7220234692096696,0.6057427525520325
image_statistics,Image statistics,text_watermark,opacity_0_25,0.25,7,0.6972915530204773,1.7220234692096696,0.6057427525520325
image_statistics,Image statistics,text_watermark,opacity_0_25,0.25,8,1.1261520385742188,1.7220234692096696,0.6057427525520325
image_statistics,Image statistics,text_watermark,opacity_0_25,0.25,9,0.5766803026199341,1.7220234692096696,0.6057427525520325
image_statistics,Image statistics,text_watermark,opacity_0_25,0.25,10,0.9368608593940735,1.7220234692096696,0.6057427525520325
image_statistics,Image statistics,text_watermark,opacity_0_25,0.25,11,1.6623632907867432,1.7220234692096696,0.6057427525520325
mahalanobis_feature,Mahalanobis feature,text_watermark,opacity_0_50,0.5,0,23.3612003326416,38.58238201141357,32.05723571777344
mahalanobis_feature,Mahalanobis feature,text_watermark,opacity_0_50,0.5,1,24.09381103515625,38.58238201141357,32.05723571777344
mahalanobis_feature,Mahalanobis feature,text_watermark,opacity_0_50,0.5,2,19.264381408691406,38.58238201141357,32.05723571777344
mahalanobis_feature,Mahalanobis feature,text_watermark,opacity_0_50,0.5,3,24.839370727539062,38.58238201141357,32.05723571777344
mahalanobis_feature,Mahalanobis feature,text_watermark,opacity_0_50,0.5,4,32.26763153076172,38.58238201141357,32.05723571777344
mahalanobis_feature,Mahalanobis feature,text_watermark,opacity_0_50,0.5,5,28.996402740478516,38.58238201141357,32.05723571777344
mahalanobis_feature,Mahalanobis feature,text_watermark,opacity_0_50,0.5,6,25.05398178100586,38.58238201141357,32.05723571777344
