scheme,artifact_type,severity_value,mean_score,median_score,deployment_reject_rate,research_reject_rate,n_images,severity_score_spearman,scheme_label
mahalanobis_feature,jpeg_compression,70.0,31.15088129043579,29.36503314971924,0.08333333333333333,0.3333333333333333,12,0.7233803644115521,Mahalanobis feature
mahalanobis_feature,jpeg_compression,90.0,113.46441809336345,79.19157028198242,1.0,1.0,12,0.7233803644115521,Mahalanobis feature
mahalanobis_feature,rectangle_annotation,2.0,75.4514331817627,67.5344352722168,1.0,1.0,12,0.5205451149265581,Mahalanobis feature
mahalanobis_feature,rectangle_annotation,5.0,90.8643061319987,86.61570358276367,1.0,1.0,12,0.5205451149265581,Mahalanobis feature
mahalanobis_feature,rectangle_annotation,9.0,98.44170824686687,96.80668640136719,1.0,1.0,12,0.5205451149265581,Mahalanobis feature
mahalanobis_feature,rectangle_annotation,15.0,108.01336288452148,107.58439636230469,1.0,1.0,12,0.5205451149265581,Mahalanobis feature
mahalanobis_feature,text_watermark,0.1,24.786999225616455,24.719907760620117,0.0,0.08333333333333333,12,0.17755027175789578,Mahalanobis feature
mahalanobis_feature,text_watermark,0.25,25.142616589864094,24.656214714050293,0.0,0.08333333333333333,12,0.17755027175789578,Mahalanobis feature
mahalanobis_feature,text_watermark,0.5,26.003750165303547,24.94667625427246,0.0,0.16666666666666666,12,0.17755027175789578,Mahalanobis feature
mahalanobis_feature,text_watermark,0.75,26.786545753479004,25.587349891662598,0.0,0.16666666666666666,12,0.17755027175789578,Mahalanobis feature
patchcore_l3,blur_artifact,3.0,28.11773904164632,27.360642433166504,0.0,0.5833333333333334,12,0.41428396743509016,PatchCore L3
patchcore_l3,blur_artifact,5.0,28.882142861684162,28.053253173828125,0.16666666666666666,0.6666666666666666,12,0.41428396743509016,PatchCore L3
patchcore_l3,blur_artifact,9.0,30.945629278818767,29.434959411621094,0.16666666666666666,1.0,12,0.41428396743509016,PatchCore L3
patchcore_l3,blur_artifact,15.0,32.85419718424479,31.9862699508667,0.16666666666666666,1.0,12,0.41428396743509016,PatchCore L3
patchcore_l3,border_crop,0.02,30.59697151184082,30.181547164916992,0.0,1.0,12,0.7774549778489679,PatchCore L3
patchcore_l3,border_crop,0.05,32.396779696146645,32.39756393432617,0.0,1.0,12,0.7774549778489679,PatchCore L3
patchcore_l3,border_crop,0.1,34.604082902272545,34.85758399963379,0.5,1.0,12,0.7774549778489679,PatchCore L3
patchcore_l3,border_crop,0.2,35.66137949625651,35.958147048950195,0.75,1.0,12,0.7774549778489679,PatchCore L3
patchcore_l3,gaussian_noise,5.0,27.859550793965656,27.522364616394043,0.0,0.5833333333333334,12,0.65370781874498,PatchCore L3
patchcore_l3,gaussian_noise,10.0,27.84607442220052,27.710128784179688,0.0,0.6666666666666666,12,0.65370781874498,PatchCore L3
patchcore_l3,gaussian_noise,20.0,39.173708279927574,38.30196762084961,0.5833333333333334,1.0,12,0.65370781874498,PatchCore L3
patchcore_l3,gaussian_noise,40.0,35.40882714589437,34.6860294342041,0.5,1.0,12,0.65370781874498,PatchCore L3
patchcore_l3,jpeg_compression,10.0,27.829720815022785,27.93558692932129,0.0,0.5833333333333334,12,0.16740505140662446,PatchCore L3
patchcore_l3,jpeg_compression,30.0,27.913188616434734,27.88999843597412,0.0,0.5833333333333334,12,0.16740505140662446,PatchCore L3
patchcore_l3,jpeg_compression,50.0,28.746790409088135,29.051910400390625,0.0,0.6666666666666666,12,0.16740505140662446,PatchCore L3
patchcore_l3,jpeg_compression,70.0,28.54436508814494,28.271367073059082,0.08333333333333333,0.5,12,0.16740505140662446,PatchCore L3
patchcore_l3,jpeg_compression,90.0,30.145403226216633,29.067724227905273,0.08333333333333333,0.9166666666666666,12,0.16740505140662446,PatchCore L3
patchcore_l3,rectangle_annotation,2.0,39.336480458577476,38.803531646728516,0.9166666666666666,1.0,12,0.3994881114552656,PatchCore L3
patchcore_l3,rectangle_annotation,5.0,41.596083323160805,40.93574142456055,1.0,1.0,12,0.3994881114552656,PatchCore L3
patchcore_l3,rectangle_annotation,9.0,42.64128144582113,42.214351654052734,1.0,1.0,12,0.3994881114552656,PatchCore L3
patchcore_l3,rectangle_annotation,15.0,44.81172720591227,44.53639030456543,1.0,1.0,12,0.3994881114552656,PatchCore L3
patchcore_l3,text_watermark,0.1,27.941611766815186,27.882563591003418,0.0,0.5833333333333334,12,0.5259254261919489,PatchCore L3
patchcore_l3,text_watermark,0.25,29.321819464365642,29.951068878173828,0.0,0.75,12,0.5259254261919489,PatchCore L3
patchcore_l3,text_watermark,0.5,31.868847846984863,32.7989559173584,0.16666666666666666,0.8333333333333334,12,0.5259254261919489,PatchCore L3
patchcore_l3,text_watermark,0.75,34.588784535725914,33.26866149902344,0.4166666666666667,1.0,12,0.5259254261919489,PatchCore L3
