method,split,subtype,precision,recall,f1,support
random_forest_or_gradient_boosting,test,rectangle_annotation,0.5,0.3,0.37499999999999994,30
random_forest_or_gradient_boosting,test,arrow_annotation,0.09090909090909091,0.03333333333333333,0.04878048780487805,30
random_forest_or_gradient_boosting,test,composite_layout,1.0,1.0,1.0,30
random_forest_or_gradient_boosting,test,blur_artifact,0.06,0.1,0.075,30
random_forest_or_gradient_boosting,test,border_crop,1.0,1.0,1.0,30
random_forest_or_gradient_boosting,test,gaussian_noise,1.0,1.0,1.0,30
random_forest_or_gradient_boosting,test,jpeg_compression,1.0,1.0,1.0,30
random_forest_or_gradient_boosting,test,cifar10_natural,1.0,0.98,0.98989898989899,100
feature_statistics_fusion,val,colour_fundus,1.0,1.0,1.0,40
feature_statistics_fusion,val,oct_screenshot,1.0,1.0,1.0,40
feature_statistics_fusion,val,text_watermark,0.5555555555555556,0.5,0.5263157894736842,30
feature_statistics_fusion,val,rectangle_annotation,0.4634146341463415,0.6333333333333333,0.5352112676056339,30
feature_statistics_fusion,val,arrow_annotation,0.47368421052631576,0.3,0.3673469387755102,30
feature_statistics_fusion,val,composite_layout,1.0,1.0,1.0,30
feature_statistics_fusion,val,blur_artifact,0.8125,0.8666666666666667,0.8387096774193549,30
feature_statistics_fusion,val,border_crop,1.0,1.0,1.0,30
feature_statistics_fusion,val,gaussian_noise,0.8484848484848485,0.9333333333333333,0.888888888888889,30
feature_statistics_fusion,val,jpeg_compression,0.375,0.4,0.38709677419354843,30
feature_statistics_fusion,val,cifar10_natural,1.0,0.96,0.9795918367346939,100
feature_statistics_fusion,test,colour_fundus,1.0,1.0,1.0,40
feature_statistics_fusion,test,oct_screenshot,0.975609756097561,1.0,0.9876543209876543,40
feature_statistics_fusion,test,text_watermark,0.5,0.5666666666666667,0.53125,30
feature_statistics_fusion,test,rectangle_annotation,0.696969696969697,0.7666666666666667,0.7301587301587302,30
feature_statistics_fusion,test,arrow_annotation,0.7083333333333334,0.5666666666666667,0.6296296296296297,30
feature_statistics_fusion,test,composite_layout,1.0,1.0,1.0,30
feature_statistics_fusion,test,blur_artifact,0.8518518518518519,0.7666666666666667,0.8070175438596491,30
feature_statistics_fusion,test,border_crop,1.0,1.0,1.0,30
